Cycle,Time_min,Temperature_C,Humidity_pct,Product_Weight_kg,Weight_Loss_kg,Moisure_Weight,Moisure_Loss_kg,Drying_Rate_kg_per_min,Moisture_Loss_Percentage
1,0,27,67,1.995,0.0,1.655,0.0,,0.0
2,30,55,17,1.92,0.07500000000000018,1.5799999999999998,0.07500000000000018,0.002500000000000006,4.531722054380675
3,60,53,16,1.85,0.14500000000000002,1.51,0.14500000000000002,0.002333333333333328,8.761329305135952
4,90,54,17,1.8,0.19500000000000006,1.46,0.19500000000000006,0.001666666666666668,11.78247734138973
5,120,54,17,1.705,0.29000000000000004,1.365,0.29000000000000004,0.0031666666666666657,17.522658610271904
6,150,55,15,1.615,0.3800000000000001,1.275,0.3800000000000001,0.0030000000000000027,22.960725075528707
7,180,56,15,1.48,0.5150000000000001,1.14,0.5150000000000001,0.0045000000000000005,31.117824773413904
8,210,56,18,1.38,0.6150000000000002,1.0399999999999998,0.6150000000000002,0.003333333333333336,37.16012084592146
9,240,55,16,1.305,0.6900000000000002,0.9649999999999999,0.6900000000000002,0.0024999999999999983,41.69184290030212
10,270,55,15,1.225,0.77,0.885,0.77,0.002666666666666662,46.52567975830816
11,300,55,17,1.145,0.8500000000000001,0.8049999999999999,0.8500000000000001,0.002666666666666669,51.3595166163142
12,330,54,15,1.065,0.9300000000000002,0.7249999999999999,0.9300000000000002,0.002666666666666669,56.193353474320254
13,360,54,14,0.985,1.0100000000000002,0.6449999999999998,1.0100000000000002,0.002666666666666669,61.0271903323263
14,390,53,16,0.915,1.08,0.575,1.08,0.002333333333333328,65.25679758308158
15,420,54,15,0.85,1.145,0.51,1.145,0.002166666666666665,69.18429003021149
16,450,54,16,0.805,1.19,0.4650000000000001,1.19,0.0014999999999999976,71.90332326283988
17,480,55,14,0.75,1.245,0.4099999999999999,1.245,0.0018333333333333387,75.22658610271904
18,510,54,17,0.69,1.3050000000000002,0.34999999999999987,1.3050000000000002,0.0020000000000000018,78.85196374622357
19,540,55,16,0.635,1.36,0.29499999999999993,1.36,0.0018333333333333313,82.17522658610272
20,570,54,14,0.61,1.3850000000000002,0.2699999999999998,1.3850000000000002,0.0008333333333333377,83.68580060422963
21,600,54,15,0.56,1.435,0.21999999999999997,1.435,0.0016666666666666607,86.70694864048339
22,630,53,15,0.535,1.46,0.19500000000000006,1.46,0.0008333333333333304,88.21752265861026
23,660,54,14,0.515,1.48,0.17500000000000004,1.48,0.0006666666666666673,89.42598187311178
24,690,55,14,0.49,1.5050000000000001,0.1499999999999999,1.5050000000000001,0.0008333333333333377,90.93655589123868
25,720,54,15,0.47,1.5250000000000001,0.1299999999999999,1.5250000000000001,0.0006666666666666673,92.14501510574019
26,750,55,14,0.455,1.54,0.11499999999999999,1.54,0.0004999999999999968,93.05135951661632
27,780,54,15,0.45,1.5450000000000002,0.10999999999999988,1.5450000000000002,0.0001666666666666705,93.3534743202417
28,810,54,15,0.44,1.5550000000000002,0.09999999999999987,1.5550000000000002,0.00033333333333333365,93.95770392749245
29,840,54,15,0.435,1.56,0.09499999999999997,1.56,0.0001666666666666631,94.25981873111783
